N,TIME,X
100000,6,nan,
5090000,306,nan,
10080000,614,nan,
15070000,921,nan,
20060000,1235,nan,
25050000,1579,nan,
30040000,1883,nan,
35030000,2165,nan,
40020000,2347,nan,
45010000,2805,nan,
50000000,3071,nan,
