N,TIME,X
100000,4,nan,
5090000,235,nan,
10080000,456,nan,
15070000,713,nan,
20060000,929,nan,
25050000,1175,nan,
30040000,1402,nan,
35030000,1634,nan,
40020000,1850,nan,
45010000,2103,nan,
50000000,2353,nan,
