N,TIME,X
100000,12,nan,
5090000,491,nan,
10080000,1120,nan,
15070000,1583,nan,
20060000,2084,nan,
25050000,2687,nan,
30040000,3014,nan,
35030000,3818,nan,
40020000,4289,nan,
45010000,4912,nan,
50000000,5169,nan,
