N,TIME,X
100000,9,nan,
5090000,460,nan,
10080000,889,nan,
15070000,1326,nan,
20060000,1756,nan,
25050000,2225,nan,
30040000,2630,nan,
35030000,3055,nan,
40020000,3525,nan,
45010000,3932,nan,
50000000,4381,nan,
