N,TIME,X
100000,8,nan,
5090000,512,nan,
10080000,1080,nan,
15070000,1572,nan,
20060000,2067,nan,
25050000,2486,nan,
30040000,2996,nan,
35030000,3978,nan,
40020000,4053,nan,
45010000,4781,nan,
50000000,5282,nan,
