N,TIME,X
100000,10,nan,
5090000,523,nan,
10080000,1033,nan,
15070000,1490,nan,
20060000,1950,nan,
25050000,2414,nan,
30040000,2928,nan,
35030000,3387,nan,
40020000,3794,nan,
45010000,4385,nan,
50000000,4867,nan,
